time_ms,v_out_V,i_L_A,i_ref_A,duty_pct,R_load_ohm
0.0000,0.0000,0.0120,0.0000,2.00,10.00
0.0050,0.0001,0.0240,0.0000,2.00,10.00
0.0100,0.0004,0.0360,0.0000,2.00,10.00
0.0150,0.0008,0.0480,0.0000,2.00,10.00
0.0200,0.0013,0.0599,0.0000,2.00,10.00
0.0250,0.0019,0.0719,0.0000,2.00,10.00
0.0300,0.0027,0.0838,0.0000,2.00,10.00
0.0350,0.0036,0.0956,0.0000,2.00,10.00
0.0400,0.0046,0.1075,0.0000,2.00,10.00
0.0450,0.0057,0.1192,0.0000,2.00,10.00
0.0500,0.0070,0.1310,0.0000,2.00,10.00
0.0550,0.0084,0.1426,0.0000,2.00,10.00
0.0600,0.0099,0.1542,0.0000,2.00,10.00
0.0650,0.0115,0.1657,0.0000,2.00,10.00
0.0700,0.0133,0.1771,0.0000,2.00,10.00
0.0750,0.0151,0.1885,0.0000,2.00,10.00
0.0800,0.0171,0.1997,0.0000,2.00,10.00
0.0850,0.0192,0.2108,0.0000,2.00,10.00
0.0900,0.0214,0.2219,0.0000,2.00,10.00
0.0950,0.0238,0.2328,0.0000,2.00,10.00
0.1000,0.0262,0.2436,0.0000,2.00,10.00
0.1050,0.0288,0.2543,0.0000,2.00,10.00
0.1100,0.0315,0.2649,0.0000,2.00,10.00
0.1150,0.0343,0.2753,0.0000,2.00,10.00
0.1200,0.0371,0.2856,0.0000,2.00,10.00
0.1250,0.0401,0.2957,0.0000,2.00,10.00
0.1300,0.0432,0.3057,0.0000,2.00,10.00
0.1350,0.0465,0.3156,0.0000,2.00,10.00
0.1400,0.0498,0.3252,0.0000,2.00,10.00
0.1450,0.0532,0.3347,0.0000,2.00,10.00
0.1500,0.0567,0.3441,0.0000,2.00,10.00
0.1550,0.0603,0.3533,0.0000,2.00,10.00
0.1600,0.0640,0.3622,0.0000,2.00,10.00
0.1650,0.0677,0.3710,0.0000,2.00,10.00
0.1700,0.0716,0.3797,0.0000,2.00,10.00
0.1750,0.0756,0.3881,0.0000,2.00,10.00
0.1800,0.0796,0.3963,0.0000,2.00,10.00
0.1850,0.0838,0.4043,0.0000,2.00,10.00
0.1900,0.0880,0.4121,0.0000,2.00,10.00
